location,latitude,longitude,bus,long_bus,lat_bus,capacity [Mio. t]
Bremen,53.12493044,8.68672853,DE0 3,9.379791842911668,52.72772021665179,3.8
Nordrhein-Westfalen,51.36823117,6.712267332,DE0 4,7.2936911618163665,51.294805293342506,5.2
Nordrhein-Westfalen,53.52478497,9.900051078,DE0 3,9.379791842911668,52.72772021665179,1.3
Nordrhein-Westfalen,51.5036903,6.735907484,DE0 4,7.2936911618163665,51.294805293342506,11.7
Brandenburg,52.16614052,14.61768224,DE0 5,13.18928311790515,52.51495136911513,2.4
Niedersachsen,52.15476492,10.40307531,DE0 3,9.379791842911668,52.72772021665179,5.2
Saarland,49.35213699,6.743652603,DE0 1,8.709752690725628,49.08047507412023,6.0
Nordrhein-Westfalen,51.42228298,6.741991278,DE0 4,7.2936911618163665,51.294805293342506,0.28
