,EAF,H2-DRI+EAF,NG-DRI+EAF,ISW,H2-DRI+EAF_biogas,EAF_biogas
iron ore,0.0,0.0,0.0,1.39,0.0,0.0
iron ore pellets,0.0,1.46,1.46,0.0,1.46,0.0
steel scrap,1.026,0.17,0.17,0.17,0.17,1.026
graphite electrode,0.003,0.002,0.002,0.0,0.002,0.003
lime,0.028,0.05,0.05,0.278,0.05,0.028
alloying elements,0.01,0.01,0.01,0.01,0.01,0.01
oxygen,0.056,0.05,0.05,0.18,0.05,0.056
