,CEM I+coal-waste,MEA+CEM I+coal-waste,CEM I+waste,MEA+CEM I+waste,CEM I+biomass,MEA+CEM I+biomass,CEM I+NG,MEA+CEM I+NG,CEM I+H2,MEA+CEM I+H2,CEM II/C-M+coal-waste,MEA+CEM II/C-M+coal-waste,CEM II/C-M+waste,MEA+CEM II/C-M+waste,CEM II/C-M+biomass,MEA+CEM II/C-M+biomass,CEM II/C-M+NG,MEA+CEM II/C-M+NG,CEM II/C-M+H2,MEA+CEM II/C-M+H2,CEM II/AB-M+coal-waste,MEA+CEM II/AB-M+coal-waste,CEM II/AB-M+waste,MEA+CEM II/AB-M+waste,CEM II/AB-M+biomass,MEA+CEM II/AB-M+biomass,CEM II/AB-M+NG,MEA+CEM II/AB-M+NG,CEM II/AB-M+H2,MEA+CEM II/AB-M+H2
other,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCM excl. BF slag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205
BF_slag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
